"","city","id","type","squareMeters","rooms","floorCount","buildYear","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"11542","Wrocław","cb9a7d6aa1b58bcd30347315a769fd76","Apartamentowiec",57.46,3,2,2017,5.92,12,0.29,0.653,0.243,0.239,0.217,3.126,0.216,"yes","yes","yes","yes","no",720000,674079
"11543","Wrocław","d537770fe403006120308ef7ee846169","Kamienica",62.95,3,3,1920,1.99,10,0.333,0.55,0.138,0.269,0.517,1.105,0.105,"yes","yes","no","no","yes",639000,674079
"11544","Wrocław","7d4e343cba1206c5f1b32b0ba8917392","Blok mieszkalny",31.2,1,10,1969,2.39,22,0.2,1.681,0.519,0.259,0.489,0.227,0.101,"no","no","yes","no","yes",375000,674079
"11545","Wrocław","24b1d157dd3d18ff456285bc8482b1de","Blok mieszkalny",61.06,3,6,2017,1.08,33,0.098,0.524,0.207,0.351,0.047,0.247,0.363,"no","no","yes","no","no",935000,674079
"11546","Wrocław","a2868a8b88ed02bb42f93757313637d6","Kamienica",100.22,5,4,1930,2.48,18,0.3,1.784,0.325,0.099,0.313,0.727,0.279,"yes","yes","no","no","no",985000,674079
"11547","Wrocław","cfe0b12522a1665ba297ed92d24fe935","Blok mieszkalny",34,1,17,2023,2.57,9,0.183,0.657,0.234,0.321,0.441,1.393,0.217,"no","yes","yes","no","no",499800,674079
"11548","Wrocław","8886bfe56fc675e0c05cc3b4636467a2","Blok mieszkalny",43.87,2,17,2023,2.63,10,0.184,0.572,0.296,0.262,0.457,1.461,0.235,"no","no","yes","no","no",609682,674079
"11549","Wrocław","80ea40d994a8ad1b55ee1b43aa305c1f","Blok mieszkalny",31.63,2,3,2021,5.69,5,0.742,1.453,1.043,0.362,0.35,2.671,0.588,"yes","yes","no","no","no",510000,674079
"11550","Wrocław","b8b8cea2684c6090841935f490fb1ee4","Apartamentowiec",44.95,2,10,2022,0.49,62,0.508,0.295,0.523,0.445,0.231,0.566,0.482,"yes","no","yes","no","no",839000,674079
"11551","Wrocław","edfc15fc929098880175ba405b2f2738","Blok mieszkalny",69.07,3,6,2013,3.22,13,0.198,1.777,0.378,0.14,0.269,1.242,0.302,"no","yes","yes","no","no",810000,674079
"11552","Wrocław","03f6edc482ebf7e976b5d646af47657d","Blok mieszkalny",48,3,5,1965,0.38,135,0.224,0.269,0.181,0.088,0.028,0.386,0.158,"no","no","no","no","yes",695000,674079
"11553","Wrocław","eea93c86e587e66bdb99b0d7289968f2","Blok mieszkalny",49.19,2,3,2014,6.31,0,1.658,2.299,0.894,0.628,0.523,3.022,0.544,"yes","yes","no","yes","yes",559000,674079
"11554","Wrocław","b5f345bc69a74d87d4b8fb374dda6961","Blok mieszkalny",47,2,3,2016,7.78,7,2.299,3.979,0.176,0.229,0.133,4.857,0.189,"no","yes","yes","no","no",610000,674079
"11555","Wrocław","d56a29127a7a362846cb9fc528ef51c2","Apartamentowiec",65,3,7,2013,1.1,12,0.419,0.705,0.387,0.28,0.393,0.222,0.582,"yes","yes","yes","no","no",998990,674079
"11556","Wrocław","82babe5407a9e7c683c1e91197465cba","Blok mieszkalny",48,4,6,1990,2.8,25,0.186,0.083,0.67,0.344,0.239,0.572,0.443,"no","no","yes","no","yes",579000,674079
"11557","Wrocław","46bf9424590a9cd0350f13c804480218","Kamienica",90.16,3,4,1900,0.41,67,0.294,0.548,0.036,0.518,0.012,0.124,0.044,"no","no","no","no","yes",950000,674079
"11558","Wrocław","1f9395bae56cab816cdd81d79a3c22ae","Kamienica",93.3,4,3,1910,3.41,16,0.167,1.263,0.649,0.248,0.199,0.316,0.278,"no","no","no","no","no",1050000,674079
"11559","Wrocław","adc4dd2047c36b9403d7ed401b3f74d8","Blok mieszkalny",62.7,3,4,1993,5.08,6,0.688,1.694,0.599,0.169,0.179,1.446,0.331,"no","yes","no","no","yes",609000,674079
"11560","Wrocław","72d6d0e07ad34b6790f7742e2891d44f","Kamienica",93,3,4,1898,1.72,27,0.293,0.616,0.701,0.186,0.244,0.058,0.171,"no","yes","no","no","yes",782000,674079
"11561","Wrocław","7d79ff9926a4214c039ff4bc7f72bbe9","Blok mieszkalny",72,3,5,2008,3.61,2,0.522,1.351,0.876,0.189,0.672,0.553,1.039,"no","yes","yes","yes","no",799000,674079
